国家/地区,点击次数,展示,点击率,排名
美国,4,40,10%,8.95
德国,1,22,4.55%,7.55
葡萄牙,1,10,10%,5.9
加拿大,1,10,10%,8.9
印度,1,7,14.29%,7.71
巴西,1,6,16.67%,7.5
瑞典,1,2,50%,12
荷兰,0,17,0%,5.82
法国,0,16,0%,7.75
英国,0,12,0%,9.58
澳大利亚,0,10,0%,14
西班牙,0,9,0%,6.44
韩国,0,5,0%,8.8
爱尔兰,0,4,0%,7.5
日本,0,4,0%,8.5
菲律宾,0,4,0%,8.75
波兰,0,4,0%,9
阿根廷,0,3,0%,8.67
比利时,0,3,0%,8.67
意大利,0,2,0%,5
新西兰,0,2,0%,5.5
捷克,0,2,0%,9
印度尼西亚,0,2,0%,9.5
新加坡,0,2,0%,12
巴基斯坦,0,2,0%,14
尼日利亚,0,1,0%,5
中国香港,0,1,0%,6
突尼斯,0,1,0%,6
波斯尼亚和黑塞哥维那,0,1,0%,7
希腊,0,1,0%,8
俄罗斯,0,1,0%,8
越南,0,1,0%,8
瑞士,0,1,0%,9
芬兰,0,1,0%,9
马来西亚,0,1,0%,9
泰国,0,1,0%,9
台湾,0,1,0%,9
孟加拉,0,1,0%,10
丹麦,0,1,0%,10
墨西哥,0,1,0%,10
奥地利,0,1,0%,19
土耳其,0,1,0%,19
